km_cluster,crop_code,median_yield_kg_per_ha,avg_yield_kg_per_ha,n_obs,crop_pop_median,relative_yield_index
2,PEARL MILLET(MCHEWERE),889.376953125,2872.8559296171543,59,1113.1102294921875,0.7990016887462646
2,PIGEONPEA(NANDOLO),2262.0374755859375,21893.83100989401,744,2442.269287109375,0.926203137191003
2,PINEAPPLE,2312.3543701171875,3700.2081909179688,4,1224.1875,1.8888890550811763
2,RICE,3256.359375,51145.93615449667,407,4884.53857421875,0.666666733309775
2,SORGHUM,1269.9801025390625,10574.571799577383,271,1397.6207885742188,0.9086728767354922
2,SOYABEAN,2442.269287109375,11403.658881243395,686,2900.19482421875,0.8421052498661946
2,SUGAR CANE,4335.3896484375,6953.902647018433,8,2170.90625,1.997041396162317
2,SUNFLOWER,1782.0425415039062,5030.64294535319,30,1980.9323120117188,0.8995978967570922
2,SWEET POTATO,4569.07080078125,27214.49284223186,216,4579.25537109375,0.9977759330967236
2,Sesame,564.4356079101562,2033.144117143419,45,555.6162719726562,1.0158730699268181
2,TEA,616.7976379394531,2907.80087890625,10,1068.4927978515625,0.577259518435369
2,THERERE/OKRA,941.0498657226562,970.7066128070538,13,1114.9879150390625,0.8440000586819701
2,TOBACCO,3701.39501953125,45380.09073964644,75,3968.687744140625,0.9326495955737495
2,TOMATO,2151.31884765625,7674.234360914964,26,3847.7955322265625,0.5591042532375335
2,WHEAT,7632.091796875,17004.300976562514,4,0.0,inf
3,BANANA,64.32937622070312,3810.8266067504883,12,3443.599853515625,0.01868085113170982
3,BEANS,2907.826904296875,27936.594932593445,179,3261.956298828125,0.8914364994226094
3,CABBAGE,64842.2578125,64842.2578125,1,8989.87109375,7.2128128575258526
3,CASSAVA,3067.856689453125,17840.252550182864,241,3831.92041015625,0.8006055348440889
3,COFFEE,4731.896484375,3500.5860595703125,3,5220.3505859375,0.9064327014974263
3,COTTON,152.64183044433594,906.1836681365967,16,992.1719360351562,0.15384614793108528
3,COW PEAS (KHOBWE),976.9077758789062,12189.197005589804,57,1221.1346435546875,0.8000000499823312
3,FINGER MILLET(MAWERE),1526.4183349609375,16990.593289311742,45,2165.478759765625,0.704887234786891
3,GREEN PEA (NSAWAWA),1796.3135986328125,5163.769430977957,7,869.8141479492188,2.065169442079119
3,GROUND BEAN(NZAMA),1541.8096313476562,7013.574960430463,24,2442.269287109375,0.6313020597218884
3,GROUNDNUT/PEANUTS,1999.2689208984375,13127.97082132101,696,2442.269287109375,0.8186111709510688
3,IRISH [MALAWI] POTATO,12803.5966796875,102135.98446345403,39,7113.109375,1.7999999725418956
3,MAIZE,2483.7879638671875,23002.350464768853,2464,3052.836669921875,0.8136000161223005
3,MANGO,814.08984375,814.08984375,1,1567.631591796875,0.5193119659044771
3,NKHWANI,915.8509521484375,7638.89409084881,51,1602.7392578125,0.5714285387870498
3,ONION,8722.390625,6709.367422485351,5,7494.7138671875,1.1638056875242928
