HHID,plotid,gardenid,crop_code,plotareaHA,harvest_Qua_per_crop,km_cluster,yield_kg_per_ha
00B2940A46894D51AD6A079F294158E3,1,1,MAIZE,0.60705,1516.3496,2,2497.89892578125
00B7C867AA8A4789996687D1B9639C07,1,1,MAIZE,0.20235,741.2898,2,3663.40380859375
00B7C867AA8A4789996687D1B9639C07,1,2,MAIZE,0.20235,741.2898,2,3663.40380859375
00BC76753EBD4EB3B7074C9245125D50,1,1,MAIZE,0.101175,1976.7728,0,19538.154296875
00BC76753EBD4EB3B7074C9245125D50,1,2,MAIZE,0.101175,1976.7728,0,19538.154296875
00BEC1AD905E49ED965BF574D14ECAA3,1,1,MAIZE,0.8094,2470.966,6,3052.836669921875
00BEC1AD905E49ED965BF574D14ECAA3,2,1,SOYABEAN,0.8094,304.2377,6,375.8805236816406
00BEC1AD905E49ED965BF574D14ECAA3,3,1,GROUNDNUT/PEANUTS,0.8094,1235.483,6,1526.4183349609375
00BFFF3AEAA743B2B7475C552757F6FC,1,1,MAIZE,0.20235,494.1932,4,2442.269287109375
00BFFF3AEAA743B2B7475C552757F6FC,1,1,MAIZE,0.20235,494.1932,4,2442.269287109375
00C07089395F4174AEE37E3035356021,1,1,SOYABEAN,0.4047,370.6449,6,915.8509521484375
00C07089395F4174AEE37E3035356021,2,1,MAIZE,0.4047,247.0966,6,610.5673217773438
00C3F0F6B7274035A6FCDA388F9893D8,1,1,GROUNDNUT/PEANUTS,0.8094,1011.8606,0,1250.1365966796875
00C3F0F6B7274035A6FCDA388F9893D8,1,2,MAIZE,0.4047,1701.5319,0,4204.427734375
00C4EB48388A4E688BC53974FA3A927E,1,1,MAIZE,0.4047,2527.7983,0,6246.10400390625
00C8370783B64BD28CF6D6AC7B6B0140,1,1,TOMATO,0.20235,2327.6501,3,11503.0888671875
00C8370783B64BD28CF6D6AC7B6B0140,2,1,MAIZE,0.20235,3282.0127,3,16219.484375
00C8370783B64BD28CF6D6AC7B6B0140,1,1,TOMATO,0.20235,2327.6501,3,11503.0888671875
00C89045A44947638CE96E64B47380CB,2,1,MAIZE,0.101175,689.39954,5,6813.931640625
00C89045A44947638CE96E64B47380CB,1,2,GROUNDNUT/PEANUTS,0.303525,1400.2141,5,4613.17578125
00C89045A44947638CE96E64B47380CB,1,1,MAIZE,0.303525,494.19324,5,1628.1796875
00C89045A44947638CE96E64B47380CB,1,2,PIGEONPEA(NANDOLO),0.4047,1050.1606,5,2594.911376953125
00C89045A44947638CE96E64B47380CB,1,1,MAIZE,0.4047,370.6449,5,915.8509521484375
00D2204297C34DA1949604CAEB3D8464,1,1,PIGEONPEA(NANDOLO),0.4047,49.419323,0,122.11347198486328
00D2204297C34DA1949604CAEB3D8464,1,1,MAIZE,0.4047,864.83813,0,2136.985595703125
00D2204297C34DA1949604CAEB3D8464,2,1,GROUNDNUT/PEANUTS,0.101175,1482.5796,0,14653.615234375
00D9C6845EFE47E3B1DBCCCCC62916A6,1,1,MAIZE,0.101175,5123.301,2,50638.01171875
00D9C6845EFE47E3B1DBCCCCC62916A6,3,2,GROUND BEAN(NZAMA),0.048564,110.86401,2,2282.843505859375
00D9C6845EFE47E3B1DBCCCCC62916A6,2,2,GROUND BEAN(NZAMA),0.048564,2644.835,2,54460.81640625
